time (msec),xAccel (m/s^2),yAccel (m/s^2),zAccel (m/s^2),xRate (deg/s),yRate (deg/s),zRate (deg/s),xMag (Gauss),yMag (Gauss),zMag (Gauss)
4151330751,-0.2231,0.6822,-9.7270,-0.0048,-0.0376,0.1563,0.0000,0.0000,0.0000
4151340747,-0.2247,0.6742,-9.7365,-0.0216,-0.0491,0.1504,0.0000,0.0000,0.0000
4151350927,-0.2183,0.6798,-9.7238,-0.0148,-0.0076,0.0787,0.0000,0.0000,0.0000
4151360919,-0.2191,0.6958,-9.7310,-0.0207,-0.0442,0.0247,0.0000,0.0000,0.0000
4151370681,-0.2263,0.6942,-9.7373,-0.0382,0.0304,0.1072,0.0000,0.0000,0.0000
4151380753,-0.2151,0.6830,-9.7230,-0.0330,0.0600,0.1855,0.0000,0.0000,0.0000
4151390679,-0.2039,0.6782,-9.7358,-0.0265,-0.0861,0.1142,0.0000,0.0000,0.0000
4151400676,-0.2167,0.6846,-9.7373,-0.0268,-0.1335,0.0480,0.0000,0.0000,0.0000
4151410855,-0.2287,0.6838,-9.7190,-0.0096,-0.0858,0.0893,0.0000,0.0000,0.0000
4151420851,-0.2295,0.6798,-9.7357,-0.0272,-0.0381,0.0717,0.0000,0.0000,0.0000
4151430852,-0.2151,0.6966,-9.7278,-0.0496,0.0405,-0.0220,0.0000,0.0000,0.0000
4151440680,-0.2055,0.6982,-9.7230,-0.0203,-0.0215,0.0472,0.0000,0.0000,0.0000
4151450748,-0.2047,0.6846,-9.7318,-0.0093,-0.0925,0.1793,0.0000,0.0000,0.0000
4151460748,-0.2103,0.6830,-9.7198,-0.0265,-0.0563,0.1679,0.0000,0.0000,0.0000
4151470957,-0.2111,0.6870,-9.7270,-0.0339,-0.1636,0.1013,0.0000,0.0000,0.0000
4151480861,-0.2287,0.6838,-9.7421,-0.0506,-0.1219,0.1071,0.0000,0.0000,0.0000
4151490753,-0.2295,0.6854,-9.7214,-0.0095,-0.0187,0.1379,0.0000,0.0000,0.0000
4151500892,-0.2111,0.6918,-9.7310,-0.0149,-0.0014,0.1320,0.0000,0.0000,0.0000
4151510755,-0.2063,0.6854,-9.7326,-0.0209,-0.0738,0.0665,0.0000,0.0000,0.0000
4151520918,-0.2344,0.6822,-9.7278,-0.0268,-0.0807,0.0544,0.0000,0.0000,0.0000
4151530930,-0.2287,0.6758,-9.7254,-0.0382,-0.0380,0.1080,0.0000,0.0000,0.0000
4151540762,-0.2006,0.6830,-9.7334,-0.0490,-0.0381,0.1018,0.0000,0.0000,0.0000
4151550928,-0.2127,0.6902,-9.7302,-0.0493,-0.0743,0.0538,0.0000,0.0000,0.0000
