time (msec),xAccel (m/s^2),yAccel (m/s^2),zAccel (m/s^2),xRate (deg/s),yRate (deg/s),zRate (deg/s),xMag (Gauss),yMag (Gauss),zMag (Gauss)
1347244237,0.0842,0.6670,-9.7405,-0.0139,-0.0375,0.0962,0.0000,0.0000,0.0000
1347254320,0.0641,0.6622,-9.7365,-0.0142,-0.0685,0.0604,0.0000,0.0000,0.0000
1347264232,0.0650,0.6718,-9.7389,-0.0317,-0.0682,-0.0219,0.0000,0.0000,0.0000
1347274356,0.0786,0.6782,-9.7397,-0.0435,-0.0554,-0.0219,0.0000,0.0000,0.0000
1347284339,0.0714,0.6822,-9.7365,-0.0612,-0.0618,0.0842,0.0000,0.0000,0.0000
1347294161,0.0585,0.6766,-9.7357,-0.0499,-0.0922,0.1501,0.0000,0.0000,0.0000
1347304227,0.0602,0.6702,-9.7357,-0.0152,-0.0741,0.0780,0.0000,0.0000,0.0000
1347314329,0.0722,0.6670,-9.7342,-0.0030,-0.0489,0.0490,0.0000,0.0000,0.0000
1347324410,0.0730,0.6694,-9.7389,-0.0433,-0.0553,0.1200,0.0000,0.0000,0.0000
1347334157,0.0706,0.6726,-9.7365,-0.0603,-0.0741,0.1851,0.0000,0.0000,0.0000
1347344374,0.0674,0.6774,-9.7349,-0.0088,-0.1222,0.1142,0.0000,0.0000,0.0000
1347354160,0.0650,0.6742,-9.7349,0.0142,-0.1222,-0.0042,0.0000,0.0000,0.0000
1347364155,0.0642,0.6686,-9.7381,-0.0260,-0.0445,-0.0500,0.0000,0.0000,0.0000
1347374222,0.0706,0.6710,-9.7365,-0.0317,-0.0022,-0.0219,0.0000,0.0000,0.0000
1347384159,0.0770,0.6710,-9.7334,-0.0093,-0.0082,0.0597,0.0000,0.0000,0.0000
1347394342,0.0722,0.6726,-9.7317,-0.0217,-0.0746,0.0962,0.0000,0.0000,0.0000
1347404164,0.0666,0.6814,-9.7341,-0.0496,-0.0982,0.0544,0.0000,0.0000,0.0000
1347414406,0.0682,0.6782,-9.7357,-0.0430,-0.0617,0.1201,0.0000,0.0000,0.0000
1347424160,0.0722,0.6726,-9.7294,-0.0544,-0.0370,0.1626,0.0000,0.0000,0.0000
1347434237,0.0642,0.6670,-9.7310,-0.0490,0.0040,0.1205,0.0000,0.0000,0.0000
1347444329,0.0666,0.6670,-9.7262,-0.0273,0.0100,0.0721,0.0000,0.0000,0.0000
1347454240,0.0786,0.6694,-9.7318,-0.0279,-0.0314,0.0191,0.0000,0.0000,0.0000
1347464335,0.0738,0.6750,-9.7342,-0.0339,-0.0430,0.0363,0.0000,0.0000,0.0000
1347474240,0.0642,0.6758,-9.7302,-0.0387,-0.0370,0.0958,0.0000,0.0000,0.0000
1347484334,0.0754,0.6766,-9.7326,-0.0273,-0.0378,0.1020,0.0000,0.0000,0.0000
1347494403,0.0818,0.6726,-9.7334,-0.0103,-0.0805,0.1324,0.0000,0.0000,0.0000
1347504161,0.0746,0.6718,-9.7318,-0.0319,-0.1336,0.1079,0.0000,0.0000,0.0000
1347514242,0.0642,0.6702,-9.7358,-0.0603,-0.1458,0.0842,0.0000,0.0000,0.0000
1347524164,0.0617,0.6718,-9.7365,-0.0324,-0.1045,0.0319,0.0000,0.0000,0.0000
1347534384,0.0642,0.6750,-9.7357,-0.0222,-0.0676,-0.0034,0.0000,0.0000,0.0000
1347544331,0.0851,0.6758,-9.7341,-0.0225,-0.0128,0.0669,0.0000,0.0000,0.0000
1347554328,0.0859,0.6750,-9.7357,-0.0217,-0.0563,0.1745,0.0000,0.0000,0.0000
1347564366,0.0602,0.6670,-9.7317,0.0128,-0.1695,0.1266,0.0000,0.0000,0.0000
1347574167,0.0489,0.6726,-9.7397,0.0013,-0.1041,0.0084,0.0000,0.0000,0.0000
1347584239,0.0698,0.6838,-9.7389,-0.0098,0.0176,-0.0267,0.0000,0.0000,0.0000
1347594335,0.0931,0.6782,-9.7365,-0.0039,0.0176,0.0488,0.0000,0.0000,0.0000
1347604401,0.0794,0.6702,-9.7334,0.0078,-0.0685,0.1614,0.0000,0.0000,0.0000
